iter,extension_type,near_idx,sample_x,sample_y,sample_theta,near_x,near_y,near_theta,mid_x,mid_y,mid_theta,new_x,new_y,new_theta,accepted,status
121,lateral_motion,7,nan,nan,nan,-0.206683,-0.100066,2.769235,-0.206683,-0.100066,2.769235,-0.375894,-0.533298,2.769235,0,lateral_segment_collision
122,random_sample,3,0.370220,1.803965,2.331237,0.384982,1.254540,1.722037,0.384982,1.254540,1.722037,0.309649,1.748832,1.722037,1,accepted
123,random_sample,10,-0.169124,-0.214830,0.616560,0.460314,0.760247,0.674839,0.460314,0.760247,-0.372358,0.926050,0.578341,-0.372358,0,translation_collision
124,random_sample,45,1.015637,1.897931,-0.789884,0.999997,1.579687,-0.282498,0.999997,1.579687,0.764699,1.229915,1.800280,0.764699,0,translation_collision
125,random_sample,49,-0.471025,1.171058,-1.653498,0.384982,1.254540,-1.329696,0.384982,1.254540,-2.376894,0.024186,0.908380,-2.376894,0,translation_collision
126,random_sample,51,-0.453771,1.710090,1.705155,0.309649,1.748832,1.722037,0.309649,1.748832,2.769235,-0.156087,1.930739,2.769235,0,translation_collision
127,random_sample,10,0.202652,-0.139920,0.217918,0.460314,0.760247,0.674839,0.460314,0.760247,-0.372358,0.926050,0.578341,-0.372358,0,translation_collision
128,random_sample,41,0.536240,-0.012835,-0.839895,0.610979,-0.228338,-1.419556,0.610979,-0.228338,-2.466753,0.610979,-0.228338,-2.466753,0,duplicate_candidate
129,random_sample,36,-0.389432,-0.440035,0.991079,-0.206683,-0.100066,1.722037,-0.206683,-0.100066,2.769235,-0.566206,0.040356,2.769235,0,translation_collision
130,random_sample,34,1.391144,0.821907,-1.691658,0.460314,0.760247,-1.419556,0.460314,0.760247,-0.372358,0.926050,0.578341,-0.372358,0,translation_collision
131,random_sample,40,0.785662,1.572232,0.783387,0.664416,1.305463,0.674839,0.664416,1.305463,0.674839,0.893216,1.488540,0.674839,1,accepted
132,lateral_motion,43,nan,nan,nan,0.217623,0.217487,1.722037,0.217623,0.217487,1.722037,-0.276414,0.142193,1.722037,1,accepted
133,lateral_motion,53,nan,nan,nan,0.893216,1.488540,0.674839,0.893216,1.488540,0.674839,0.609300,1.843363,0.674839,0,lateral_segment_collision
134,random_sample,10,0.903528,-0.138827,0.561413,0.460314,0.760247,0.674839,0.460314,0.760247,-0.372358,0.926050,0.578341,-0.372358,0,translation_collision
135,random_sample,18,0.077002,-0.189914,-0.286647,0.460314,0.760247,-0.372358,0.460314,0.760247,-1.419556,0.535646,0.265955,-1.419556,0,duplicate_candidate
136,lateral_motion,40,nan,nan,nan,0.664416,1.305463,0.674839,0.664416,1.305463,0.674839,0.948798,0.950058,0.674839,0,lateral_segment_collision
137,random_sample,29,1.189383,0.793143,2.290719,1.201024,1.096601,1.722037,1.201024,1.096601,2.769235,0.918154,1.207084,2.769235,1,accepted
138,random_sample,7,-0.407960,-0.261641,2.521275,-0.206683,-0.100066,2.769235,-0.206683,-0.100066,-2.466753,-0.408214,-0.261324,-2.466753,0,translation_collision
139,random_sample,55,1.348473,0.814883,-2.579243,1.201024,1.096601,2.769235,1.201024,1.096601,-2.466753,0.952749,0.897941,-2.466753,0,translation_collision
140,random_sample,26,0.549839,1.175978,0.093334,0.663695,1.173640,-0.282498,0.663695,1.173640,-1.329696,0.663695,1.173640,-1.329696,0,duplicate_candidate
141,random_sample,51,0.476238,1.719849,2.405279,0.309649,1.748832,1.722037,0.309649,1.748832,0.674839,0.309649,1.748832,0.674839,0,duplicate_candidate
142,random_sample,34,-0.435183,0.680409,-1.614949,0.460314,0.760247,-1.419556,0.460314,0.760247,-2.466753,0.069910,0.447861,-2.466753,0,translation_collision
143,random_sample,57,0.692396,1.243379,-2.340294,0.663695,1.173640,-1.329696,0.663695,1.173640,-0.282498,0.663695,1.173640,-0.282498,0,duplicate_candidate
144,random_sample,49,0.536114,1.967632,-1.323969,0.384982,1.254540,-1.329696,0.384982,1.254540,-0.282498,0.865163,1.115162,-0.282498,1,accepted
145,random_sample,52,0.508620,-0.115343,-2.180189,0.610979,-0.228338,-2.466753,0.610979,-0.228338,2.769235,0.610979,-0.228338,2.769235,0,duplicate_candidate
146,random_sample,41,-0.001587,-0.364286,-1.638771,0.610979,-0.228338,-1.419556,0.610979,-0.228338,-2.466753,0.220575,-0.540724,-2.466753,0,translation_collision
147,random_sample,4,0.660478,0.321706,2.423704,0.460314,0.760247,2.769235,0.460314,0.760247,-2.466753,0.083916,0.459068,-2.466753,0,translation_collision
148,random_sample,57,1.498146,0.501498,-1.272554,0.663695,1.173640,-1.329696,0.663695,1.173640,-1.329696,0.783081,0.688102,-1.329696,0,translation_collision
